"id","priority","track","topic","level","format","resource","provider_or_authors","why_it_is_in_the_path","suggested_use","estimated_time","url","source_class","last_verified","status"
"L01","Reference","Frontier map","Physical AI research landscape","Intermediate","Curated repository","Awesome Physical AI","Keon Kim and contributors","Strong discovery catalog for VLA architectures, world models, action representations, reasoning, scaling, deployment, safety, datasets, and simulators; use after choosing a question","Browse relevant sections rather than reading linearly","Ongoing","https://github.com/keon/awesome-physical-ai","Community-curated index","2026-08-07","ACTIVE"
"L02","Core","Foundations","Mechanics, kinematics, planning, control","Beginner to intermediate","Free book, videos, exercises, code","Modern Robotics","Kevin Lynch and Frank Park / Northwestern","Builds the mathematical vocabulary needed to understand robot bodies and control interfaces","Chapters 2–6 first; use videos alongside the free book","12–20 hours selected","https://modernrobotics.northwestern.edu/","Official university course","2026-08-07","ACTIVE"
"L03","Core","Foundations","Manipulation systems","Intermediate","Open notes, videos, interactive examples","Robotic Manipulation: Perception, Planning, and Control","Russ Tedrake / MIT","Connects geometry, perception, planning, control, and learning around manipulation rather than teaching them as isolated subjects","Read introduction, robot/simulation, perception, grasping, and planning chapters selectively","12–20 hours selected","https://manipulation.mit.edu/","Official university course","2026-08-07","ACTIVE"
"L04","Core","Foundations","Dynamics and feedback control","Intermediate to advanced","Open notes and lecture videos","Underactuated Robotics","Russ Tedrake / MIT","Explains nonlinear dynamics, optimal control, locomotion, and why feedback matters; CartPole directly connects to the implementation baseline","Read chapters 1–3 and selected control chapters; do not attempt the entire graduate course in week one","8–16 hours selected","https://underactuated.mit.edu/","Official university course","2026-08-07","ACTIVE"
"L05","Core","Systems","Robot middleware and deployment","Beginner","Documentation and tutorials","ROS 2 Tutorials","Open Robotics community","Introduces nodes, topics, services, actions, packages, launch, recording, and distributed robot software","Complete beginner CLI and client-library concepts; install later on a supported Linux path if needed","6–10 hours","https://docs.ros.org/en/lyrical/Tutorials.html","Official documentation","2026-08-07","ACTIVE"
"L06","Core","Simulation","Physics simulation and modeling","Beginner to intermediate","Documentation, examples, repository","MuJoCo Documentation","Google DeepMind","The preferred local manipulation simulator; teaches the distinction between MJCF models, simulation state, stepping, contacts, and rendering","Run basic Python examples, then read modeling/programming sections as the fixture is selected","4–8 hours","https://mujoco.readthedocs.io/en/stable/","Official documentation","2026-08-07","ACTIVE"
"L07","Core","Simulation","Robot task environments","Beginner","Documentation and examples","Gymnasium-Robotics","Farama Foundation","Shows how robotics tasks expose observations, actions, rewards, termination, reset, rendering, and environment registration","Run one Fetch or Hand environment after basic Gymnasium CartPole","3–6 hours","https://robotics.farama.org/","Official documentation","2026-08-07","ACTIVE"
"L08","Core","LeRobot","Datasets, policies, evaluation, environments","Beginner to intermediate","Documentation and code","LeRobot Documentation","Hugging Face","Primary framework for the month; links robot episodes, policies, processors, simulation, evaluation, and Hub artifacts","Follow dataset and environment concepts before model training","6–10 hours selected","https://huggingface.co/docs/lerobot/index","Official documentation","2026-08-07","ACTIVE"
"L09","Core","LeRobot","Hands-on robot learning","Beginner","Open course and repository","Hugging Face Robotics Course","Hugging Face","Provides a guided path through LeRobot rather than requiring repository archaeology","Use the simulation/data sections now; physical-hardware units later","6–12 hours selected","https://github.com/huggingface/robotics-course","Official course repository","2026-08-07","ACTIVE"
"L10","Survey","Systems","End-to-end Physical AI stack","Beginner to intermediate","Free self-paced courses and video sessions","Physical AI Learning","NVIDIA","Maps OpenUSD, digital twins, Isaac Sim, Isaac Lab, synthetic data, training, and deployment into one commercial stack","Use for architecture literacy; defer local Isaac execution to the optional cloud lane","4–8 hours selected","https://docs.nvidia.com/learning/physical-ai/index.html","Official vendor curriculum","2026-08-07","ACTIVE"
"L11","Core","Learning","Deep reinforcement learning and imitation","Advanced","Course notes, lectures, assignments","CS 285: Deep Reinforcement Learning","Sergey Levine / UC Berkeley","A rigorous bridge from behavior cloning and policy gradients to modern model-based and offline RL","Prioritize imitation learning, policy gradients, actor-critic, and offline RL lectures","12–20 hours selected","https://rail.eecs.berkeley.edu/deeprlcourse/","Official university course","2026-08-07","ACTIVE"
"L12","Support","Learning","Reinforcement learning implementation","Intermediate","Textbook-style notes and code","Spinning Up in Deep RL","OpenAI","Clear explanations and reference implementations for core RL algorithms; useful when CS285 moves too quickly","Read key concepts and one policy-gradient implementation","4–8 hours","https://spinningup.openai.com/en/latest/","Official educational resource","2026-08-07","MAINTENANCE_MODE"
"L13","Support","Learning","Reinforcement learning foundations","Intermediate","Free textbook","Reinforcement Learning: An Introduction, second edition","Richard Sutton and Andrew Barto","Canonical treatment of value functions, temporal-difference learning, policy gradients, and the agent-environment formalism","Use as a reference; chapters 1–3 and 13 are the fastest route for this month","8–15 hours selected","http://incompleteideas.net/book/the-book-2nd.html","Author-hosted textbook","2026-08-07","ACTIVE"
"L14","Core","Learning","Imitation learning and action generation","Intermediate","Paper, project page, code, videos","Diffusion Policy","Chi et al.","Concrete, influential example of using conditional diffusion for visuomotor action sequences and multimodal behavior","Read overview and architecture; compare action horizons and evaluation to transformer policies","3–5 hours","https://diffusion-policy.cs.columbia.edu/","Official project page","2026-08-07","ACTIVE"
"L15","Core","VLA","Large-scale multi-task robot policy","Intermediate","Paper, project page, code","RT-1","Brohan et al. / Google Robotics","Establishes the data and transformer-policy context needed before reading VLA work","Focus on dataset construction, action tokenization, and evaluation axes","2–4 hours","https://robotics-transformer1.github.io/","Official project page","2026-08-07","ACTIVE"
"L16","Core","VLA","Vision-language-action models","Intermediate","Paper, project page, videos","RT-2","Brohan et al. / Google DeepMind","Introduces the VLA framing and action-as-language-token recipe, including the claimed transfer from web-scale pretraining","Compare training mixture and evaluation to RT-1; separate qualitative demos from quantitative evidence","2–4 hours","https://robotics-transformer2.github.io/","Official project page","2026-08-07","ACTIVE"
"L17","Core","Data","Cross-embodiment robot datasets","Intermediate","Paper, project page, dataset","Open X-Embodiment","Open X-Embodiment Collaboration","Shows the heterogeneity problem behind generalist robot learning: embodiments, sensors, action spaces, tasks, and dataset normalization","Study dataset schema and embodiment/action normalization before model results","3–5 hours","https://robotics-transformer-x.github.io/","Official project page","2026-08-07","ACTIVE"
"L18","Core","VLA","Open generalist robot policy","Intermediate to advanced","Paper, project page, code","Octo","Octo Model Team","An open policy trained across heterogeneous robot data; useful for understanding task/observation/action heads and adaptation","Compare its architecture and fine-tuning interface to RT-X and OpenVLA","3–5 hours","https://octo-models.github.io/","Official project page","2026-08-07","ACTIVE"
"L19","Core","VLA","Open-source VLA","Advanced","Paper, project page, code","OpenVLA","Kim et al.","A widely used open 7B VLA that exposes practical questions about VLM backbones, action tokenization, fine-tuning, and compute","Read architecture/evaluation first; defer weights and fine-tuning until a bounded GPU experiment is approved","3–5 hours","https://openvla.github.io/","Official project page","2026-08-07","ACTIVE"
"L20","Core","VLA","Compact VLA and community data","Intermediate","Article, paper, code","SmolVLA","Hugging Face","Connects a smaller model to LeRobot datasets and makes compute/data tradeoffs more approachable than large VLAs","Read after LeRobot dataset concepts; consider only a bounded inference probe this month","2–4 hours","https://huggingface.co/blog/smolvla","Official project article","2026-08-07","ACTIVE"
"L21","Frontier","VLA","Flow-based generalist robot policy","Advanced","Paper, project article, code","π0","Physical Intelligence","Illustrates a modern VLM-plus-action-expert design and large heterogeneous robot-data training","Use for architecture comparison, not as a local reproduction target","3–5 hours","https://www.physicalintelligence.company/blog/pi0","Official project article","2026-08-07","ACTIVE"
"L22","Frontier","VLA","Embodied reasoning and action","Advanced","Technical report, article, demos","Gemini Robotics","Google DeepMind","Useful example of separating embodied reasoning from a direct action model and transferring capabilities across embodiments","Map components to the system architecture and scrutinize evaluation scope","2–4 hours","https://deepmind.google/discover/blog/gemini-robotics-brings-ai-into-the-physical-world/","Official research article","2026-08-07","ACTIVE"
"L23","Optional","Simulation","GPU-accelerated robot learning and sim-to-real","Advanced","Paper, repository, examples","MuJoCo Playground","Google DeepMind","Shows a modern MJX-based path from massively parallel simulation to locomotion/manipulation policies and real deployment","Read architecture now; execute only if a later experiment justifies JAX/MJX setup","2–4 hours reading","https://github.com/google-deepmind/mujoco_playground","Official repository","2026-08-07","ACTIVE"
"L24","Video","Foundations","Dynamics, control, manipulation","Intermediate to advanced","YouTube lecture channel","Underactuated Robotics and Robotic Manipulation Lectures","Russ Tedrake / MIT","Direct lecture companion for L03 and L04 with derivations and demonstrations","Watch the introductory, CartPole, manipulation, and planning lectures that match the selected notes","6–12 hours selected","https://www.youtube.com/channel/UChfUOAhz7ynELF-s_1LPpWg","Official instructor channel linked by MIT course sites","2026-08-07","ACTIVE"
