"company_id","company","country_basis","headquarters_or_origin","category","product","markets_served","buyer_or_business_model","latest_disclosed_financing","latest_financing_date","cumulative_disclosed_funding","latest_disclosed_valuation","valuation_type","company_status","product_source","funding_source","secondary_source","last_verified","confidence","notes"
"IN01","Addverb","India founded and headquartered; global subsidiaries","Noida, Uttar Pradesh","Warehouse and industrial automation","Autonomous mobile robots, sortation, AS/RS, picking systems, warehouse software, emerging humanoids","Warehousing, logistics, e-commerce, manufacturing","Enterprise automation projects, robot systems, software and support","$132M strategic investment/majority transaction from Reliance","2022-01-18","$143M reported after the transaction","$270M reported at transaction","TRANSACTION_VALUE_REPORTED","PRIVATE_RELIANCE_MAJORITY_OWNED","https://addverb.com/us/","https://addverb.com/wp-content/uploads/2023/06/Mukesh-Ambanis-Reliance-To-Buy-Majority-Stake-In-Indian-Robots-Company-For-132M.pdf","https://www.ibef.org/news/reliance-retail-buys-54-stake-in-robotics-startup-addverb-for-132-mn","2026-08-07","MEDIUM","The company announced new humanoid/Physical AI work in 2026; the financial snapshot is older and should not be treated as current enterprise value."
"IN02","Ati Motors","India founded; US and India operations","Bengaluru, Karnataka","Autonomous mobile robots","Sherpa autonomous industrial vehicles for material movement","Factories, warehouses, automotive, industrial logistics","Enterprise AMR sales/deployments and fleet software","$20M Series B","2025-01-23","At least $20M; cumulative total not verified in the primary announcement","UNDISCLOSED","UNDISCLOSED","PRIVATE_ACTIVE","https://atimotors.com/","https://www.prnewswire.co.uk/news-releases/ati-motors-raises-20m-series-b-for-global-expansion-of-its-ai-powered-robotics-workforce-302357460.html","https://techcrunch.com/2025/01/22/ati-motors-raises-20m-as-indias-robotics-industry-grows/","2026-08-07","HIGH","Strong example of India-built industrial autonomy expanding into North America and APAC."
"IN03","CynLr","India founded and headquartered with Swiss/US expansion","Bengaluru, Karnataka","Industrial manipulation and robot vision","Object-intelligence vision system and CyRo modular manipulation platform","Manufacturing and flexible assembly","Robotic system/platform sales and industrial deployments","$10M Series A","2024-11-06","$15.2M company-disclosed","UNDISCLOSED","UNDISCLOSED","PRIVATE_ACTIVE","https://www.cynlr.com/","https://www.cynlr.com/investments","https://builtinbengaluru.in/articles/cynlr-raises-10m-series-a-20241106","2026-08-07","HIGH","Product thesis targets manipulation of previously unseen objects rather than repetitive fixed automation."
"IN04","Unbox Robotics","India founded and headquartered","Pune, Maharashtra","Warehouse and logistics robotics","Compact vertical robotic sortation and swarm systems for fulfillment","E-commerce, quick commerce, parcel, warehousing and micro-fulfillment","Enterprise automation deployments","$28M Series B with primary and secondary components","2026-01-20","Calculated minimum of at least $35M from the disclosed $7M Series A and $28M Series B; excludes seed and transaction structure","UNDISCLOSED","UNDISCLOSED","PRIVATE_ACTIVE","https://unboxrobotics.com/about-us","https://economictimes.indiatimes.com/tech/funding/warehouse-automation-startup-unbox-robotics-raises-28-million-led-by-icici-venture/articleshow/126697091.cms","https://roboticsindia.live/automation-startup-unbox-robotics-raises-28-mn-to-accelerate-global-expansion/","2026-08-07","MEDIUM","Because the 2026 round includes secondary capital, the headline amount is not all new operating cash."
"IN05","Niqo Robotics","India founded and headquartered","Bengaluru, Karnataka","Agricultural robotics","AI-assisted spot-spraying and agricultural robotics platform","Farming, crop protection and agricultural input efficiency","Robotic equipment/platform sold through agricultural channels","$13M Series B","2024-05-14","$21M reported total fundraising","UNKNOWN","NOT_DISCLOSED","PRIVATE_ACTIVE","https://niqorobotics.com/","https://entrackr.com/2024/05/niqo-robotics-raises-13-mn-in-series-b-round-to-scale-globally/","https://yourstory.com/2024/06/robots-farm-niqo-brings-ai-tech-indian-farmers-tartensense-funding-omnivore","2026-08-07","MEDIUM","Attributable news sources support the round and cumulative total but do not disclose a valuation; database-derived valuation estimates are excluded."
"IN06","Swaayatt Robots","India founded and headquartered","Bhopal, Madhya Pradesh","Autonomous vehicles","Autonomous-driving research stack for difficult unstructured and mixed traffic","Automotive autonomy and mobility R&D","Technology development and future OEM/platform partnerships","$4M funding from US angel investors","2024-06-08","Calculated minimum of at least $7M including the reported $3M 2021 seed","$151M reported","REPORTED","PRIVATE_ACTIVE","https://www.swaayattrobots.com/","https://autotechinsight.spglobal.com/news/5276298/india-based-autonomous-driving-startup-swaayatt-robots-raises-4-million","https://yourstory.com/2024/06/swaayatt-robots-autonomous-driving-startup-raised-4million-funding","2026-08-07","MEDIUM","Technical autonomy claims need independent deployment and safety evidence; valuation is founder/reporting sourced."
"IN07","Peppermint Robotics","India founded and headquartered","Pune, Maharashtra","Vertical service and industrial robotics","Autonomous cleaning and material-handling robots","Commercial facilities, factories, warehouses and industrial sites","Robot sales, deployments and service contracts","INR 34 crore Series A","2025-04-17","INR 49 crore total reported","UNDISCLOSED","UNDISCLOSED","PRIVATE_ACTIVE","https://peppermintrobotics.com/","https://machinist.in/2025/04/peppermint-robotics-secures-inr-340-million-to-expand-manufacturing-of-autonomous-systems/","https://www.businessoutreach.in/indian-startups-funding-roundup-april-2025/","2026-08-07","MEDIUM","Keep amounts in original currency; total-funding figure is secondary reporting."
"IN08","Accio Robotics","India founded and headquartered","Bengaluru, Karnataka","Warehouse robotics","Mobile robotic fulfillment and goods-to-person automation for dense warehouses/dark stores","Warehousing, e-commerce and quick commerce","Enterprise automation deployments","$1.8M pre-Series A","2024-01-09","At least $1.8M; earlier angel/seed amount not stated on the company announcement","UNDISCLOSED","UNDISCLOSED","PRIVATE_ACTIVE","https://acciorobotics.com/","https://acciorobotics.com/fundingannouncement","https://startupmahakumbh.org/exhibitor_directory/SM_2025_Exhibitor_Directory.pdf","2026-08-07","HIGH","Financial entry is older; prioritize a new primary or high-quality financing source in the next update."
"IN09","Flo Mobility","India founded and headquartered","Bengaluru, Karnataka","Autonomous mobile robots and construction robotics","Vertically integrated autonomous material-movement robots and fleet platform","Construction and industrial sites","Robotics-as-a-Service subscription with no upfront capital cost","$2.5M pre-Series A","2026-06","At least $2.5M; prior capital not verified","UNDISCLOSED","UNDISCLOSED","PRIVATE_ACTIVE","https://flomobility.com/","https://entrepreneur.economictimes.indiatimes.com/amp/news/funding/flo-mobility-secures-25-million-funding-to-transform-construction-with-autonomous-robots/131003668","https://flomobility.com/about","2026-08-07","MEDIUM","Company reports 250,000 tonnes moved; retain as company-reported until customer/deployment evidence is added."
"IN10","Genrobotics","India founded and headquartered","Thiruvananthapuram, Kerala","Sanitation, hazardous-work and rehabilitation robotics","Bandicoot sewer-cleaning robots, confined-space systems, and rehabilitation products","Municipal sanitation, oil and gas, hazardous maintenance and healthcare","Robot/system deployments, government/enterprise procurement and service","$2.6M reported funding round","2022-05","$2.95M reported over verified historical rounds; excludes a July 2026 rumored round","UNDISCLOSED","UNDISCLOSED","PRIVATE_ACTIVE","https://www.genrobotics.com/about-us","https://www.owler.com/company/genrobotics/funding","https://www.cbinsights.com/company/genrobotic-innovations/financials","2026-08-07","LOW","Product evidence is strong, but financing databases conflict and a 2026 round is only rumored; refresh when a company or transaction announcement appears."
